Nodes;Addjested Nodes
391426118;{1941124810,919414939,1559779579,}
391426120;{2964317076,2964317077,1945910454,}
391426401;{1668991776,1846014785,}
391426402;{2410949954,1581620997,}
391426403;{1581620997,391426404,}
391426404;{391426403,702292653,}
391426407;{1887788779,1579345900,}
391426408;{1579345900,522457455,}
391426409;{1857017324,1856971365,}
391426410;{1856971365,1579345909,}
391426411;{1579345909,1579345916,}
391426412;{702292671,1945910454,}
391426811;{1899702201,391426812,}
391426812;{391426811,391426813,}
391426813;{391426812,1899686938,}
391426814;{1899686938,391426815,}
391426815;{391426814,1899686972,}
391426816;{2526016298,3640433654,}
391426817;{3640433655,391426818,}
391426818;{391426817,3640433656,3640433657,}
391426819;{998765006,1668991776,}
401244188;{3578341842,3609504183,704766465,}
401244190;{4666292722,4666292695,4668345797,4666292720,}
401244192;{3554678882,1394041140,}
401244193;{3547917998,3556023578,3555982722,}
401244195;{3554678860,2477338745,3547917471,}
401244196;{3554678855,3547917472,}
418813693;{713724942,713724851,}
418813751;{3290148470,3290148471,}
421567997;{5261966458,774460427,}
421568013;{421568019,5261966458,}
421568019;{708167086,421568013,}
421568033;{421568039,708167086,}
421568039;{5368662387,421568033,}
421568052;{5368662878,5368662387,}
421568056;{5368560250,5368662878,}
421568062;{421568080,5368560250,}
421568080;{5368662345,421568062,}
421568094;{421568102,5368662345,}
421568102;{739248452,421568094,}
494553778;{1863163112,1863162803,}
494553779;{1270512164,4237829348,}
494553780;{1811529383,1811529376,1811529385,}
494553782;{1811489229,1811489231,}
494553783;{1811489141,1811489147,}
494553785;{1811489089,966805159,966805161,}
494553787;{941663558,941663498,}
494553789;{941663616,941663641,}
494553791;{941663660,3642482779,936154230,}
494553793;{941663708,936154236,}
494553795;{2783090611,941663593,}
494553797;{939106675,941393538,}
494553803;{941393491,703477353,}
494553805;{936154166,936154259,}
494553807;{936154166,494553809,}
494553809;{941393549,494553807,}
494553811;{3623074001,1958259564,4873472001,}
494553814;{1952456434,2885090002,1952456435,4873431398,}
494779209;{956660679,5073291289,5304161036,3515643245,}
494779210;{932978648,932978672,932978659,932978621,}
494779211;{4181054303,1956331659,932516789,}
494779212;{4440698233,1956372722,1956372727,}
494779214;{3538891482,3538891479,1902293813,3541796590,}
494779215;{4283785870,1966380887,1971574111,}
494779217;{1941203077,1941203079,3976412860,}
494779218;{3548011086,3755387101,3382757865,3548011078,3548011079,}
494779219;{595756043,1411580520,919345659,}
494779221;{705314187,3607454835,}
494779222;{4075407393,4076675214,}
494779223;{3726024564,1730818114,4076532263,4076533106,}
494779224;{4100232940,4100232914,}
494779225;{3428438544,1103486496,1103486508,}
494779226;{703754818,703754808,703754814,703754815,}
494779227;{1103486497,1103486504,}
494779228;{4076515481,4076669690,}
494779229;{1103486506,1730818111,4076532263,1103486503,}
494779230;{919345660,5057716469,5057716470,}
